Customer_ID,Acquisition_Date,Last_Activity_Date,Tenure_Days,Industry,Segment,Country,Company_Size_Employees,MRR,ARR,LTV,Churn_Probability,Health_Score,Churned,Churn_Date,NPS_Score,CSAT_Score,Support_Tickets,Avg_Resolution_Hours,Logins_Last_30d,Features_Used,API_Calls_Monthly,Storage_GB,Plan,Payment_Method,Expansion_Revenue,Upsell_Probability,Referrals_Made,Contract_Value,Renewal_Date
CUST-10000,2023-07-18,2024-08-22,401,Technology,Mid-Market,Brazil,29960,3918.63,47023.51,155153.75,0.007,100,0,,-70,3.3,0,42.2,4,20,466070,213.2,Enterprise,Invoice,2339.54,0.723,4,3918.63,2024-07-17
CUST-10001,2022-11-21,2023-11-23,367,Healthcare,Startup,Germany,42991,5055.32,60663.84,213147.11,0.252,90.3,0,,-62,2.4,46,41.0,58,5,291860,3924.8,Enterprise,Wire,341.05,0.839,7,181991.52,2023-11-21
CUST-10002,2024-08-24,2026-05-07,621,Finance,SMB,Canada,38596,6622.82,79473.85,199967.04,0.25,76.2,0,,48,2.4,39,59.9,8,2,30955,4260.2,Professional,Invoice,482.7,0.106,10,238421.55,2025-08-24
CUST-10003,2023-10-25,2024-06-19,238,Media,Mid-Market,France,4223,9814.15,117769.81,392166.91,0.244,76.8,0,,-85,3.4,7,3.7,9,15,800432,1871.6,Starter,Invoice,1605.8,0.699,6,117769.81,2024-10-24
CUST-10004,2023-02-14,2023-09-03,201,Media,Mid-Market,India,12607,2598.7,31184.4,63344.93,0.252,83.1,0,,-78,3.3,40,69.1,12,7,34853,4050.0,Starter,ACH,3871.93,0.568,1,62368.8,2024-02-14
CUST-10005,2023-01-15,2024-12-14,699,Logistics,Mid-Market,India,23080,7325.77,87909.28,324249.85,0,95.4,0,,-9,3.5,35,61.6,8,15,448278,3127.4,Starter,Credit Card,635.96,0.517,1,7325.77,2024-01-15
CUST-10006,2024-10-18,2025-06-12,237,Manufacturing,SMB,France,46094,608.64,7303.71,17469.61,0.436,66.4,0,,-9,1.3,10,69.7,9,18,603304,1207.0,Enterprise,Wire,3093.22,0.546,1,21911.12,2025-10-18
CUST-10007,2023-06-23,2025-04-22,669,Finance,Enterprise,Japan,35858,395.78,4749.39,7993.98,0.069,99.0,0,,87,2.3,48,48.1,7,8,517530,364.6,Starter,ACH,4905.28,0.95,9,395.78,2024-06-22
CUST-10008,2024-09-07,2025-01-18,133,Media,SMB,Australia,19889,2777.03,33324.4,21530.67,0.411,68.4,0,,100,4.4,14,2.5,7,1,811192,3909.1,Professional,Wire,3409.71,0.738,8,99973.2,2025-09-07
CUST-10009,2022-04-17,2023-05-19,397,Healthcare,Mid-Market,Australia,7737,7679.25,92150.96,270374.79,0.091,94.9,0,,57,4.9,23,26.0,43,14,962664,289.6,Professional,Credit Card,2943.09,0.227,8,7679.25,2023-04-17
