Date,Week,Month,Quarter,Year,Channel,Channel_Type,Campaign,Campaign_Objective,Target_Audience,Impressions,Reach,Clicks,CTR_Pct,CPC,Spend,Leads,CPL,MQLs,SQLs,Opportunities,Deals_Closed,Revenue_Attributed,ROI_Pct,ROAS,Conversion_Rate_Pct,Avg_Order_Value,Bounce_Rate_Pct,Time_On_Page_Sec,Video_Views,Email_Open_Rate_Pct,Email_CTR_Pct,Unsubscribes,Social_Shares,Comments,Brand_Mentions,Attribution_Model
2023-08-30,35,August,Q3,2023,YouTube,Earned,ABM Enterprise,Lead Gen,Enterprise VP,3946908,3488680,194455,4.93,3.93,763679.46,14958,51.05,8313,3025,898,119,7720977.87,911.0,10.11,7.69,8597.97,43.6,547,343816,0,0,0,1611,355,472,First Touch
2022-03-01,9,March,Q1,2022,Email,Owned,Summer Sale,Conversion,SMB Owner,194956,152857,8243,4.23,3.52,29008.59,201,144.32,44,17,5,2,77893.5,168.5,2.69,2.44,15578.7,77.5,39,9108,45.8,6.4,70,4700,106,120,Last Touch
2022-09-08,36,September,Q3,2022,SEO,Owned,Product Launch,Upsell,Developer,3341611,2639372,213133,6.38,9.09,1936573.8,9114,212.48,4641,1480,291,74,1722847.32,-11.0,0.89,4.28,5920.44,62.2,372,6643,0,0,0,1680,469,835,Last Touch
2022-08-11,32,August,Q3,2022,Trade Show,Earned,Nurture Series,Upsell,Developer,1164454,930961,71152,6.11,8.98,639204.7,7023,91.02,3176,921,151,75,2491931.63,289.8,3.9,9.87,16502.86,26.6,443,6279,0,0,0,2393,290,471,First Touch
2024-04-19,16,April,Q2,2024,Trade Show,Earned,Summer Sale,Lead Gen,CFO,215537,180098,7732,3.59,13.39,103536.11,268,386.33,88,33,3,0,57422.05,-44.5,0.55,3.47,19140.68,26.8,272,9300,0,0,0,4928,139,748,Data-Driven
2022-03-11,10,March,Q1,2022,Meta Ads,Paid,Retargeting Wave,Conversion,SMB Owner,1634156,1370026,35921,2.2,4.45,159724.27,1433,111.46,559,223,78,16,1037979.81,549.9,6.5,3.99,13307.43,69.5,578,4346,0,0,0,725,372,63,First Touch
2024-06-08,23,June,Q2,2024,Trade Show,Earned,Lead Magnet,Brand,Developer,1817218,1103913,14223,0.78,14.91,212102.55,1563,135.7,369,118,46,20,541772.69,155.4,2.55,11.0,11777.67,59.4,185,633,0,0,0,1233,271,575,Time Decay
2024-05-04,18,May,Q2,2024,Meta Ads,Paid,Summer Sale,Lead Gen,CFO,3391661,2545723,249959,7.37,14.99,3746673.21,23065,162.44,5280,2039,228,90,1412134.5,-62.3,0.38,9.23,6193.57,39.7,586,4278,0,0,0,1277,30,214,Linear
2023-02-09,6,February,Q1,2023,Meta Ads,Paid,Demand Gen,Retention,CTO,3570076,2227553,34286,0.96,7.43,254806.79,4055,62.84,966,435,164,68,400806.5,57.3,1.57,11.83,2443.94,25.9,108,8118,0,0,0,950,104,897,Last Touch
2022-07-20,29,July,Q3,2022,YouTube,Earned,Demand Gen,Upsell,Developer,2596746,2068467,193371,7.45,12.35,2387212.14,23127,103.22,7432,2520,907,195,3311142.68,38.7,1.39,11.96,3650.65,27.2,566,240845,0,0,0,2450,162,139,Time Decay
2022-06-03,22,June,Q2,2022,YouTube,Earned,Retargeting Wave,Upsell,Developer,1788836,1590624,139048,7.77,7.41,1030114.09,9192,112.07,3643,1050,240,27,2952318.71,186.6,2.87,6.61,12301.33,58.2,328,322262,0,0,0,910,336,388,First Touch
2023-08-10,32,August,Q3,2023,LinkedIn,Earned,ABM Enterprise,Brand,IT Manager,2093987,1631307,111203,5.31,2.23,247434.54,4585,53.97,1004,414,51,13,359170.1,45.2,1.45,4.12,7042.55,59.7,417,1088,0,0,0,3330,280,259,Linear
2023-11-22,47,November,Q4,2023,LinkedIn,Earned,Summer Sale,Retention,SMB Owner,2711988,2068815,49256,1.82,10.01,493142.54,4499,109.61,2507,502,145,55,872670.35,77.0,1.77,9.14,6018.42,36.6,558,5880,0,0,0,3489,199,619,Linear
2024-11-03,44,November,Q4,2024,YouTube,Earned,Partner Co-Mktg,Lead Gen,CFO,1854091,1314955,145707,7.86,0.94,137557.59,3155,43.6,1880,771,155,46,1441910.0,948.2,10.48,2.17,9302.65,73.2,208,235014,0,0,0,707,233,159,Time Decay
2024-04-07,14,April,Q2,2024,LinkedIn,Earned,Nurture Series,Brand,Developer,3034532,2023258,107367,3.54,0.88,93990.12,5594,16.8,1136,234,26,12,162088.56,72.5,1.72,5.21,6234.18,42.7,451,2949,0,0,0,2135,20,806,Data-Driven
2024-06-30,26,June,Q2,2024,Meta Ads,Paid,Summer Sale,Retention,CMO,44185,33619,232,0.53,9.75,2262.81,23,98.38,8,3,0,0,0.0,-100.0,0.0,9.94,0.0,44.5,216,8216,0,0,0,911,62,359,Last Touch
2022-10-14,41,October,Q4,2022,Email,Owned,Demand Gen,Lead Gen,CFO,1199104,1079166,55657,4.64,3.12,173885.2,3960,43.91,1241,447,107,35,1861093.78,970.3,10.7,7.12,17393.4,37.8,21,4471,13.7,11.2,141,2195,231,619,First Touch
2023-04-13,15,April,Q2,2023,Content,Owned,Holiday Push,Lead Gen,CMO,854791,709342,49440,5.78,14.07,695728.64,2381,292.2,504,229,76,23,325863.56,-53.2,0.47,4.82,4287.68,27.9,27,7154,0,0,0,2369,60,654,Linear
2024-09-29,39,September,Q3,2024,Podcast,Earned,Nurture Series,Brand,SMB Owner,344386,236355,17188,4.99,7.23,124324.9,626,198.6,157,56,19,8,18291.83,-85.3,0.15,3.64,962.73,76.6,268,4936,0,0,0,632,313,340,Last Touch
2024-11-11,46,November,Q4,2024,Meta Ads,Paid,Summer Sale,Upsell,Enterprise VP,2204158,1689794,58615,2.66,8.56,501581.31,5743,87.34,1809,841,116,39,140365.41,-72.0,0.28,9.8,1210.05,21.4,247,5641,0,0,0,4077,467,572,First Touch
