years,months,Bahawalpur,Rahim Yar Khan,Dera Ghazi Khan,Layyah,Muzaffargarh,Taunsa,Faisalabad,Jhang,Toba Tek Singh,Gujrat,Hafizabad, Mandi Bahauddin,Gujranwala,Narowal,Sialkot,Lahore, Nankana Sahib,Kasur,Sheikhupura,Bhakkar,Mianwali,Khanewal,Multan,Vehari,Attock,Rawalpindi,Jhelum,Sahiwal,Pakpattan,Okara,Khushab,Sargodha
1981,1,1.476196552,1.314465401,1.445215745,1.534613395,1.375772422,1.447696831,1.778963378,1.590427132,1.475294782,1.693933929,2.157121117,1.906950981,1.627240891,1.274382205,1.274382205,1.903015506,1.809436331,1.819218831,1.877401753,1.408499083,1.238501682,1.475027494,1.375188774,1.49753124,1.358923423,1.358923423,1.543809871,1.54140815,1.682026971,2.073219849,1.642677384,1.598339786
1981,2,0.810640764,0.872836199,0.893278223,0.958786225,0.868068712,0.931799119,1.046082063,0.922283282,0.843294104,0.666665021,0.884264254,0.804393907,0.766354584,0.63415071,0.63415071,0.86569294,1.058412066,0.81254649,1.017232259,1.003068755,1.001640635,0.828457914,0.86777258,0.803539222,0.806269068,0.806269068,0.911097207,0.873483117,0.862860562,0.905553274,0.99138759,0.919035167
1981,3,-0.291395374,-0.236093238,0.045089587,0.280511051,0.07095457,0.160016626,0.018067615,0.026750155,0.073653659,0.413377547,0.134446655,0.39743584,0.117482684,0.236277225,0.236277225,0.050663573,0.001855186,0.02946176,0.004246962,0.224968113,0.588943097,0.144623026,0.071628864,0.022866418,1.0912391,1.0912391,0.915567018,0.135156884,-0.038077415,0.056428455,0.132101658,0.02000738
1981,4,-1.165752098,-1.141434732,-0.97428736,-0.980039918,-1.092588384,-0.9331907,-1.065797841,-1.00359011,-1.052284923,-1.120158062,-1.266914973,-1.176397433,-1.267395495,-1.250160604,-1.250160604,-1.243964893,-1.239167611,-1.224193654,-1.220784169,-1.008846947,-0.917770239,-1.081040667,-1.091109677,-1.11749673,-0.58472032,-0.58472032,-1.157156231,-1.091370447,-1.132395929,-1.193789548,-0.96703725,-1.024642654
1981,5,-1.170761592,-1.237597496,-1.399473362,-1.503715855,-1.553180948,-1.430154581,-1.532676984,-1.426470295,-1.521945667,-1.440132118,-1.44230914,-1.393924018,-1.523959534,-1.619398442,-1.619398442,-1.52717893,-1.527307634,-1.556192715,-1.531965355,-1.509921781,-1.495158113,-1.464546836,-1.552407869,-1.512123662,-1.399825409,-1.399825409,-1.32457716,-1.512776571,-1.555323234,-1.559424837,-1.469921728,-1.472516697
1981,6,-1.463471175,-1.411734206,-1.592960375,-1.692585664,-1.632035344,-1.682962292,-1.655778022,-1.691405362,-1.616568528,-1.713776172,-1.661948896,-1.711053686,-1.724051312,-1.827768429,-1.827768429,-1.642639798,-1.594069449,-1.585419042,-1.606515981,-1.642588122,-1.739157394,-1.610915865,-1.631954936,-1.589350504,-1.787794822,-1.787794822,-1.615491809,-1.59599473,-1.60895774,-1.579259721,-1.61572616,-1.635981035
1981,7,0.817967501,0.223299165,1.067068507,1.083816866,1.124947144,0.906487903,0.5,0.5,3.058014182,3.442247884,4.384803477,3.295017351,4.331270686,3.70254132,3.70254132,4.613766819,4.348802438,0.5,0.5,1.013677695,-0.214008629,1.501047499,1.120454719,1.431017205,-0.215444927,-0.215444927,1.794389451,2.001316423,2.530309532,0.5,1.792973979,3.178463418
1981,8,-0.345268391,-0.250744709,-0.579846777,-0.409419663,-0.573318833,-0.566564612,0.894077839,0.832716139,0.302536722,1.356687597,1.5567167,2.246043116,0.815620587,0.44621016,0.44621016,0.170351942,0.818968388,-0.10811226,0.773232116,-0.25303719,0.156237884,-0.331350773,-0.573977695,-0.530669041,0.455852771,0.455852771,1.941213984,-0.134591062,0.121045791,0.269309784,1.715745952,1.205873119
1981,9,-0.285525325,-0.275324299,-0.344359862,-0.448719641,-0.386560822,-0.407808699,-0.202684002,-0.184118364,-0.253788594,-0.433995392,-0.315543697,-0.339030895,-0.425861318,-0.36544383,-0.36544383,-0.359214336,-0.203172294,-0.348838738,-0.191607944,-0.256207817,-0.415366978,-0.426168919,-0.385722279,-0.334545682,-0.441759102,-0.441759102,-0.521652986,-0.348671913,-0.355256772,-0.176564582,-0.131933606,-0.08192797
1981,10,0.130480497,0.173634729,0.144630569,0.094597229,0.151799197,0.158797025,-0.011127436,0.043420935,0.093774632,-0.295725139,-0.246046136,-0.252984217,-0.285352123,-0.276884221,-0.276884221,-0.243038916,-0.170665089,-0.190832532,-0.157268864,0.066059963,-0.119551538,0.16087282,0.153198925,0.183988463,-0.257622254,-0.257622254,-0.411758786,0.148179185,0.129878751,-0.094958371,-0.082169455,0.010960079
