Substance,ISO,Country,Sector,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,ABW,Aruba,Agriculture,2.377804424,2.373622853,2.373353571,2.375882244,2.390385374,2.39109945,2.385369742,2.399599982,2.409991751,2.409770574,2.42280673,2.426609014,2.437338223,2.447133156,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.45236576,2.461254338,2.470189332,2.483232103,2.489405371,2.495593986,2.504239632
GWP_100_AR5_GHG,ABW,Aruba,Buildings,20.7614613,26.70139565,25.67111188,24.61699655,26.60740921,28.52023793,17.85189891,29.05553942,29.54949414,29.32516994,17.84580375,17.94703024,18.11948827,21.4398931,21.87359289,24.12584342,25.98934676,26.22427559,25.24656378,28.96260519,31.75713473,18.55079567,25.86238313,30.67680637,34.58318803,36.99023839,45.99517688,39.41489379,43.12180497,47.99812908,41.8107639,42.70955299,43.76051681,43.7487756,45.41149168
GWP_100_AR5_GHG,ABW,Aruba,Dom_Avi,6.844000921,8.210457681,8.096659192,7.338053395,10.32297834,12.0132614,8.805563128,17.82156221,15.06558597,15.80946718,15.15354232,11.77293055,11.85302313,13.04178922,13.1619855,14.36800509,14.50110828,15.86028752,16.69494099,15.07170731,14.35894831,14.20882444,14.31894884,17.43480078,18.56963934,19.04459576,19.13094403,19.84020699,16.67473885,23.43540797,12.19355344,12.72329592,13.46254296,15.37112,15.51601588
GWP_100_AR5_GHG,ABW,Aruba,Dom_Ship,2.100139188,2.394995796,1.916939878,2.746335602,2.76062857,2.901969401,1.860037729,2.821472219,2.68780978,2.811991382,2.137352653,2.178866314,2.39801225,2.822699609,3.120586988,3.636232432,4.649622738,4.169180081,4.216405053,4.221134918,4.157158463,3.20632588,7.457498263,8.314821601,9.28175361,9.731852232,10.31008687,9.859202301,9.68913229,10.48704696,10.74863639,10.9349072,11.57035516,12.32962443,11.47196385
GWP_100_AR5_GHG,ABW,Aruba,Energy,109.3600417,118.6107374,136.1579291,136.4168702,155.8043835,171.0636819,112.7410869,184.2828873,186.7077788,186.7105728,143.9768621,147.011676,156.769088,186.5217015,192.9287095,213.3166317,236.5376273,259.5838274,256.9902502,273.2571883,254.7530858,156.7151073,198.2171133,214.4873238,222.9043634,230.7956526,241.5251432,224.1065349,226.539085,245.2953678,252.0732232,256.9279532,271.8846934,271.3377482,281.7599293
GWP_100_AR5_GHG,ABW,Aruba,Indirect,1.643212605,1.895119993,2.118362968,2.155861136,2.428330355,2.633397098,1.71545264,2.807006558,2.93047615,2.946765053,2.188028955,2.203039518,2.343205866,2.644597653,2.660028443,2.884272328,3.185031531,3.384129335,3.458405024,3.869252345,3.786376828,2.386395954,3.152210791,3.415129432,3.649287606,3.774419929,3.913978679,3.737402419,3.770797606,4.093911486,3.98186156,4.113425016,4.574626482,4.606912928,4.739918724
GWP_100_AR5_GHG,ABW,Aruba,Industry,10.92173509,11.60059847,10.41027202,9.7858877,10.6313756,12.05466838,8.307671167,11.66921816,11.90279094,12.65688066,63.87509893,65.01203181,75.68875566,79.3786751,85.38379932,84.59723489,53.89501732,54.21713456,47.36726673,46.46159055,37.55666692,38.43546091,25.5406367,24.20254984,26.96551073,29.00002699,26.64732801,38.22311839,32.96971062,31.70512917,32.81236891,39.00685874,41.32231278,41.39637642,42.84789561
GWP_100_AR5_GHG,ABW,Aruba,Transport,53.29949051,61.66019991,71.28304493,73.49598897,82.79268936,91.31044069,59.83451751,101.5704015,110.1365656,113.6939007,83.96651272,85.87805641,90.15758096,101.6419087,102.4487988,115.6934802,129.3053119,139.7350347,141.7834072,159.6901778,163.5416519,88.31624307,112.032513,122.7364613,134.6166492,142.7778165,148.0384667,141.8434494,142.4113185,157.0024248,145.2720443,151.5111433,160.3145623,159.9899084,166.1369036
GWP_100_AR5_GHG,ABW,Aruba,Waste,13.00979216,13.41035903,13.973459,14.62726406,15.32987237,15.8333756,16.07409368,16.29379627,16.36994956,16.37056339,16.46713807,16.66312235,16.71961134,16.8718605,17.12882597,17.19913295,17.2226926,17.20126425,17.09191443,16.7491629,16.55138601,16.64604575,16.68103363,16.81651679,16.90037063,16.94946002,17.0598713,17.21115111,17.33796394,17.53481764,17.71808621,17.92443103,18.11301434,18.22672851,18.32804453
GWP_100_AR5_GHG,AFG,Afghanistan,Agriculture,9033.565857,9164.569971,9234.55903,9344.544029,9373.511194,9739.856575,11001.05434,12034.3923,12801.6565,13654.97812,11782.21449,10035.73514,12533.04879,12967.46804,13131.24716,12783.61067,12707.64145,13036.75899,14365.31998,14903.10714,16841.04744,16821.02942,16435.81376,16132.66284,16667.22756,15944.81007,15612.90473,15874.43256,15479.79968,15658.74528,15575.01173,15399.98632,15554.03525,15563.87306,15672.09761
GWP_100_AR5_GHG,AFG,Afghanistan,Buildings,444.3932316,426.959644,305.2952978,305.9364135,305.7078834,190.792285,184.4241861,195.59925,194.378116,201.0850351,156.5478208,163.8493425,160.5766534,175.504229,177.3440193,194.4100738,212.9370412,248.3034758,364.7032436,529.859224,638.8087936,873.4396826,809.9741079,813.3445099,747.9282516,982.7716561,824.1736408,1062.471011,1384.600207,1431.201376,1493.990187,1461.031645,1334.722261,1333.754492,1384.520721
GWP_100_AR5_GHG,AFG,Afghanistan,Dom_Avi,133.080707,122.7135235,62.88009384,65.10251857,61.29607375,62.2007568,69.64759817,72.04652657,65.19015885,59.5066836,39.22234301,36.54203074,19.25510205,25.17051916,21.22617439,53.20155347,65.01158889,72.07143783,171.0647491,337.3787163,546.4491629,1091.419854,516.4056414,332.7935175,258.7329789,186.3179078,116.2381514,354.1818898,437.484048,222.1588341,221.0144287,229.5076682,204.6775258,272.5848546,307.0535473
GWP_100_AR5_GHG,AFG,Afghanistan,Dom_Ship,77.37588913,73.62692708,45.08717713,38.03360904,46.58612676,48.23227721,44.10443556,45.78441243,44.09806739,45.9171811,32.19888457,32.25901167,29.43870162,36.75645018,34.21468157,51.12532853,65.49363808,59.13696039,132.214905,183.6445705,196.5000733,240.3847579,232.8886039,156.7129763,131.5618503,148.5915755,128.93345,194.6513252,290.9336256,314.7865842,257.2351187,311.6440781,277.9277331,268.2472477,288.7820714
GWP_100_AR5_GHG,AFG,Afghanistan,Energy,602.9132389,603.1349006,339.9161311,359.41548,312.9860719,413.9760678,429.9375371,430.3021382,512.4105102,480.3370873,356.1851355,315.8861648,293.7346359,345.5939129,308.1638082,439.4083379,486.7351612,698.2972886,1231.710266,1767.420393,2123.937976,2680.168424,2313.602069,2129.748208,2193.869979,2368.470148,2353.099357,3062.444781,3293.191947,3290.5499,3109.615074,3041.11608,2754.794745,2831.519721,2922.360632
GWP_100_AR5_GHG,AFG,Afghanistan,Indirect,33.07823579,35.6699035,26.11316179,23.41401848,24.94166438,24.03340301,23.11483568,22.91977211,24.615838,23.18630396,20.66240653,21.81461189,20.4573928,24.92897339,21.86989919,24.95523282,27.44029478,30.74336955,48.02411645,66.70096092,79.77170999,96.73602826,87.53177975,72.25077438,66.93365547,69.68031418,61.69577626,79.33861506,93.71683446,97.08619299,96.49026453,101.5766366,94.32928936,96.23639164,99.19160147
GWP_100_AR5_GHG,AFG,Afghanistan,Industry,1223.139491,1189.059342,887.456558,831.092093,873.5258422,803.784821,787.6403341,787.8694665,797.2613381,823.3989372,843.9542311,837.9228574,955.743766,942.992404,937.1620011,1083.036343,1126.755228,1625.327539,2095.247082,2618.685431,3121.525246,5248.472644,4412.936413,4503.845957,4839.183247,4366.844384,4585.112386,5505.584443,5494.543988,5565.155313,5410.937144,5943.733869,5705.922131,6050.26151,6124.724456
GWP_100_AR5_GHG,AFG,Afghanistan,Transport,757.4853158,742.7058948,466.740995,468.7676401,455.0446417,339.3052113,315.054386,295.9412731,275.8921861,268.6364898,152.3477723,159.0585575,136.2662863,193.2880324,163.4485667,260.5191132,345.3839116,378.9847324,1037.410505,1956.783004,2639.050334,3204.698625,3233.223801,2197.027133,1594.910677,2114.630836,1516.699398,2321.709768,3400.955331,3728.239784,4045.037079,4079.982119,3638.572763,3621.375424,3787.016111
GWP_100_AR5_GHG,AFG,Afghanistan,Waste,626.5199414,655.5189117,697.7618164,749.7866069,793.7111357,841.2815931,880.2584325,912.5433899,932.3306706,951.4320272,981.6073862,1025.378485,1080.050621,1145.862398,1198.659961,1254.646437,1301.099868,1362.023496,1414.297088,1498.922755,1581.440478,1642.457833,1716.972046,1793.558297,1854.189828,1910.967724,1965.884516,2019.780422,2060.584756,2128.245182,2190.836936,2267.267498,2347.15738,2397.254046,2449.093343
GWP_100_AR5_GHG,AGO,Angola,Agriculture,5134.889537,5319.588831,5521.498331,5461.085048,5388.98225,5487.341768,6013.515754,6427.630995,7007.429674,7014.613233,7268.655799,7295.467161,7228.452587,7149.285629,7025.44684,7625.438275,7807.543787,8032.748508,8206.278732,8489.565485,8737.231253,8998.296796,9122.438829,9503.543254,9725.425944,9989.713301,10127.37202,9963.365849,9902.119093,10306.52663,10374.60362,10515.9363,10676.79791,10566.88921,10669.76944
GWP_100_AR5_GHG,AGO,Angola,Buildings,1829.476971,1884.011964,1838.026921,1762.03087,1904.393168,1956.321725,2220.261554,2238.108228,2357.850756,2621.170141,2424.353664,2565.410939,2607.140788,2676.275467,2735.097389,2423.027083,3410.828732,3808.655732,4466.376663,5034.017838,5256.552593,5655.703063,7193.298444,8397.906219,8084.119987,7605.274888,7302.320833,7527.232273,7450.008679,8156.325534,7236.66378,9178.821837,8875.405419,9136.747269,9236.465897
GWP_100_AR5_GHG,AGO,Angola,Dom_Avi,,,,,,,,,,,,,,1008.93285,1069.982935,745.4535976,661.9115841,665.124588,970.3750016,684.4035192,716.5353593,742.2405936,170.2976288,176.7239392,167.0843223,141.379088,115.6738536,129.1402965,67.42511507,16.15248814,12.31269423,10.77044112,46.58432761,52.50260909,57.14144131
GWP_100_AR5_GHG,AGO,Angola,Dom_Ship,,,,,,,,,,,,,,329.7814565,90.42130037,61.36053652,48.5993598,48.50019949,48.50019949,45.35940148,48.5993598,55.07927643,58.31922727,74.51933312,74.51933312,64.79945817,58.31922727,40.5417594,34.70970872,41.64012277,16.84138712,28.25892933,33.1611622,31.06596705,32.40953828
GWP_100_AR5_GHG,AGO,Angola,Energy,292.5078948,245.6891891,173.1239884,125.6260294,175.5661079,172.4447351,197.7057872,417.9078392,386.3068199,623.0204381,730.792858,823.152534,823.152534,1030.691116,664.7614131,599.0209833,643.8852975,1011.287768,1257.25279,2236.167346,2373.107075,2233.172789,2484.416056,3872.165675,5531.747363,5932.072852,4018.090463,3955.423892,3060.570783,3746.386626,3569.810185,3610.094144,3721.260786,3738.697425,3790.664174
GWP_100_AR5_GHG,AGO,Angola,Indirect,2975.679529,2402.674064,2874.707325,2885.168522,2755.693843,2754.00816,2946.50417,1763.752246,2672.806345,2492.10067,2375.402349,3052.607593,2258.837042,2592.416937,2684.102556,2662.650081,2422.343245,2565.134561,2496.624285,2603.844594,2748.220155,2697.942443,2694.782455,2644.648444,2599.30601,2718.114989,2663.295303,2834.883656,2284.116263,2748.846356,2443.692899,2500.330325,2337.616867,2363.370657,2556.306864
GWP_100_AR5_GHG,AGO,Angola,Industry,21996.90774,21405.72424,20145.24003,24238.79708,34642.70102,42132.19966,52063.02564,54213.71387,58622.26532,58648.59045,53705.39394,50844.1616,49000.89859,47557.57293,48522.05796,47412.26452,41722.84954,38376.415,39241.28628,38159.57932,44523.60341,42254.59399,41683.46804,42215.24797,42315.26255,46420.6589,45641.80281,41423.66104,37749.06909,35083.49346,32313.63359,30172.62427,30410.07817,30088.14932,31049.56192
GWP_100_AR5_GHG,AGO,Angola,Transport,1033.736619,1279.393857,1206.796689,1232.233527,1567.327369,1089.71381,1004.555486,1067.90689,846.3264029,1173.325633,1090.26333,1222.109211,1502.353238,1446.280988,2337.239669,1702.452778,2626.515883,3234.843481,4259.283924,5116.217764,5004.220759,5577.949806,6625.39301,7568.914549,7823.374616,7902.252707,7878.192617,6668.779008,6964.181314,8013.097936,3939.639747,7177.818609,8368.05215,8631.744082,8751.53641
GWP_100_AR5_GHG,AGO,Angola,Waste,821.3359184,861.9803152,902.039864,925.516341,971.0103625,1033.292967,1096.949507,1152.986836,1208.059774,1264.865229,1338.14198,1408.471224,1500.787376,1584.687856,5510.142362,5467.139966,1876.465525,1985.7998,2090.171548,2169.268427,2256.892657,2346.957217,2459.593309,2572.582396,2676.775486,2762.591677,2820.44063,2890.614904,2952.915978,3096.280293,3252.023197,3407.264568,3566.280259,3671.618508,3779.083097
GWP_100_AR5_GHG,AIA,Anguilla,Buildings,0.021036453,0.014353313,0.022044546,0.027385199,0.027056048,0.028345311,0.028898692,0.039269317,0.027852928,0.034147084,0.026679632,0.027097637,0.026196704,0.025293447,0.020751578,0.018546413,0.017497197,0.018124785,0.014670648,0.016397113,0.022704059,0.016706253,0.016706253,0.017937134,0.017908592,0.017978798,0.018308139,0.01863748,0.019830039,0.019460656,0.016424196,0.015932605,0.015833572,0.015837448,0.016392413
GWP_100_AR5_GHG,AIA,Anguilla,Energy,0.403494516,0.421611199,0.444240846,0.445194833,0.457123184,0.462534397,0.499517592,0.461071036,0.575601454,0.492340217,0.65007949,0.732758272,0.723213363,0.753032508,0.75509072,0.747064454,0.738898671,0.762614448,0.779240074,0.780537088,0.792056594,0.91320456,0.913204841,0.980488286,0.978928361,0.982767361,1.02090866,1.059050959,1.02848553,1.036033051,0.872412782,0.882961374,0.871080185,0.895744171,0.942245079
GWP_100_AR5_GHG,AIA,Anguilla,Indirect,0.083202557,0.107452394,0.11388537,0.137838636,0.185903589,0.237316144,0.231448595,0.188629604,0.163245378,0.151503079,0.204813867,0.20586937,0.134575152,0.164533988,0.155525426,0.154034149,0.138271794,0.118244113,0.144401588,0.206141671,0.257293376,0.278982069,0.277971259,0.294880253,0.29273041,0.28473521,0.292804328,0.297709937,0.295656957,0.288632124,0.238264884,0.229671268,0.228091575,0.227669862,0.236428102
GWP_100_AR5_GHG,AIA,Anguilla,Industry,0.795888601,0.804927037,0.757042696,1.362607576,1.422505868,0.983762676,1.007871533,0.957474797,1.554377107,1.528392567,1.607012378,1.471506542,1.395679365,2.189978923,2.271964452,1.908070007,1.196869712,1.939418433,1.850519192,1.58433482,1.200183163,1.561096146,1.576576104,1.686074828,1.683782445,1.690243311,1.322501725,1.342857919,1.307015281,1.278751269,1.072468722,1.037270531,1.030727494,1.030752872,1.066862399
GWP_100_AR5_GHG,AIA,Anguilla,Transport,5.023129993,6.499724231,6.850691072,8.31722026,11.47936125,15.27379124,15.05214509,12.44678509,10.6235035,10.03975977,13.55494014,13.9913927,8.92924718,11.40281815,10.68514594,11.25986811,11.13435942,9.895108195,12.94299354,18.18395142,22.4560483,24.00786824,24.00615834,25.77437377,25.73028916,25.82091719,26.53039815,27.20760543,26.3923432,25.76042108,21.25996083,20.48687135,20.34663099,20.30543136,21.08558333
GWP_100_AR5_GHG,AIA,Anguilla,Waste,1.643028373,1.677091453,1.708502468,1.736952847,1.763213493,1.787635131,1.800788214,1.815282431,1.824824726,1.83618178,1.846452488,2.008777358,2.069099561,2.125597152,2.183311975,2.241324104,2.286130517,2.330630022,2.373003398,2.417826056,2.462315392,2.496141879,2.528769747,2.558930652,2.589312781,2.621025568,2.627760027,2.634836468,2.638714379,2.653386288,2.665301588,2.661105883,2.663492564,2.682148066,2.687655084
GWP_100_AR5_GHG,AIR,International aviation,Indirect,1584.51896,1523.174747,1554.59639,1565.375324,1625.154822,1665.528122,1733.581079,1817.141633,1877.897771,1957.725124,2028.228364,1993.212436,2109.161221,2097.150216,2300.774028,2448.808654,2535.922179,2621.214765,2661.803507,2532.777371,2677.567132,2750.343239,2762.523991,2810.326533,2894.583112,3062.133522,3198.991318,3366.975453,3514.536884,3566.901461,1687.867729,1863.140382,2691.937987,3258.661773,3506.60343
GWP_100_AR5_GHG,AIR,International aviation,Int_Avi,262672.1655,255615.7609,264141.9467,269333.2188,283191.7243,293983.5421,305999.9897,320750.7131,331473.6057,345565.2111,358009.2257,351830.5772,372297.5126,370191.2624,406134.6051,432268.6889,447647.0591,462708.5458,469873.3448,447096.8384,472656.6678,485503.8111,487654.7682,496090.0579,510962.4728,540533.9073,564706.9343,594366.3961,620417.8616,629650.152,297948.4666,328885.2671,475059.54,575072.0747,618827.5586
GWP_100_AR5_GHG,ALB,Albania,Agriculture,1031.400967,909.6190243,874.3136876,932.4230395,1153.21603,1176.624305,1116.371319,1035.702145,1008.556842,1010.665152,1030.214394,1019.955746,1032.080226,1025.585532,1023.209292,957.8918784,969.7836244,915.8140176,855.836358,819.4573837,820.130464,832.8379979,873.6633622,866.2356041,904.0056652,913.5290247,898.3040921,878.6082613,857.7207915,816.4255286,733.5604841,689.216464,637.3059642,582.8698879,527.7151322
GWP_100_AR5_GHG,ALB,Albania,Buildings,786.9787746,511.3879953,242.8859406,179.5099951,156.5337275,151.0765664,192.9691565,163.0459781,131.3135118,306.6189911,310.616941,322.1489031,450.7396816,393.5364123,329.8486978,274.6504281,367.3658757,286.5321762,252.5171337,214.4200821,220.998666,220.999674,199.3321403,214.8803037,233.5458221,236.2300256,242.4483395,270.5148898,263.4778003,266.4258824,256.7207647,271.0437615,264.4865159,240.6511183,244.2602817
GWP_100_AR5_GHG,ALB,Albania,Energy,179.3993208,113.5841838,63.69205532,106.4078743,130.1689179,87.81230065,72.31600383,67.15064438,69.44854368,68.57590325,92.42050781,88.92459201,92.52909902,57.09747762,55.12810171,46.96101777,46.96101777,29.6058466,,2.074589223,5.186470476,10.37283256,,,,,,,,,,,,,
GWP_100_AR5_GHG,ALB,Albania,Indirect,14.42782846,10.46241429,6.989214994,6.888574773,7.634809559,7.094843836,6.989081329,5.433085426,7.274621752,12.55865636,13.00781621,13.07517239,14.18330269,14.26410865,16.07452363,15.69543319,13.68024937,14.77605861,14.42691521,13.74178795,13.2961631,15.01507193,13.51957561,13.73031756,14.84045353,14.7925533,14.34096821,16.0464253,17.21743957,15.40094404,12.93078135,15.35634804,13.93069489,13.15713108,13.19298946
GWP_100_AR5_GHG,ALB,Albania,Industry,1291.138052,999.4206825,470.548673,393.8043393,357.9392525,279.9623713,269.8815766,192.5715928,223.0308631,265.8561012,257.8549301,316.4386253,290.856271,419.044726,424.5861769,376.7526688,524.8008572,623.5135698,584.515647,810.8792243,1080.278882,1233.464247,1088.136423,1059.811879,1089.622922,1069.950477,912.9039897,1363.776754,1427.851639,1190.324907,1440.611842,1627.713208,1258.995302,1215.200222,1212.898556
