years,months,Bahawalpur,Rahim Yar Khan,Dera Ghazi Khan,Layyah,Muzaffargarh,Taunsa,Faisalabad,Jhang,Toba Tek Singh,Gujrat,Hafizabad, Mandi Bahauddin,Gujranwala,Narowal,Sialkot,Lahore, Nankana Sahib,Kasur,Sheikhupura,Bhakkar,Mianwali,Khanewal,Multan,Vehari,Attock,Rawalpindi,Jhelum,Sahiwal,Pakpattan,Okara,Khushab,Sargodha
1981,1,0.916054145,-0.609147058,0.898103431,1.150428105,0.708897435,0.837927724,1.31459524,1.133059448,0.99571726,1.43441563,1.662705306,1.551879198,1.394244148,1.091212036,1.43441563,1.545329755,1.341403599,1.344645816,1.341403599,0.799152611,0.685767948,1.080191015,0.708897435,1.118817468,1.268271634,1.398248495,1.50087423,1.194208034,1.387996392,1.54498848,1.276230069,1.121795091
1981,2,-0.746573191,-0.609147058,0.180637696,0.640516743,0.231556417,0.49203663,0.839166139,0.571253338,0.213127543,0.491604696,0.574584165,0.585256249,0.558018276,0.453060579,0.491604696,0.623334753,0.79216683,0.490067282,0.79216683,0.735794724,0.74450915,0.092731735,0.231556417,0.151691627,0.626822678,0.608710079,0.697139854,0.427630862,0.33925119,0.509708014,0.754166417,0.622940328
1981,3,0.286802405,0.867396634,0.885114545,1.289514253,0.940907335,0.982073251,0.648241261,0.70597929,0.86328354,0.833954678,0.713662364,0.8836228,0.682337678,0.774193041,0.833954678,0.682761839,0.627442309,0.715707172,0.627442309,1.134684448,1.237271634,0.986618001,0.940907335,0.861508879,1.382605162,1.340316833,1.163035884,1.059614762,0.670919578,0.800407595,0.654830036,0.587226724
1981,4,-0.746573191,-0.609147058,0.010634587,-0.220412781,-0.818952333,-0.091449094,-0.18001125,-0.122804728,-0.355574996,-0.637437793,-1.209619187,-0.867774637,-1.205707226,-1.213769773,-0.637437793,-1.133246905,-1.119638941,-1.137683665,-1.119638941,-0.329018106,-0.239787373,-0.966998786,-0.818952333,-0.946693163,0.231918266,-0.098266804,-0.538599074,-1.034773552,-1.040107773,-1.087550351,-0.14303995,-0.216464158
1981,5,1.267697093,1.382295079,0.703595778,0.039915839,0.344091382,0.606167622,-0.2782887,0.174421104,-0.099379116,-0.063690758,-0.067710345,-0.023534317,-0.267257176,-0.450119538,-0.063690758,-0.267883424,-0.368789412,-0.387686004,-0.368789412,-0.399047312,-0.056662739,0.429070737,0.344091382,-0.076319286,-0.28518676,-0.13914024,0.079137578,0.134860977,-1.040107773,-0.542673048,-0.095718597,-0.099411593
1981,6,-0.746573191,-0.609147058,-0.882009205,-0.952180139,-0.818952333,-0.940371582,-0.595698906,-1.123758315,-1.103836399,-0.407009264,-0.565884228,-0.530523289,-0.603197173,-0.856502972,-0.407009264,-0.476267818,-0.391946274,-0.408408186,-0.391946274,-0.42335537,-1.295278345,-0.966998786,-0.818952333,-0.946693163,-0.599351045,-0.347377011,-0.396397665,-1.034773552,-1.040107773,-0.556633113,-0.299493313,-0.33155241
1981,7,2.697983627,2.290789686,2.4296824,2.638609296,2.576162639,2.416121422,2.942386441,2.869230589,3.045976193,2.412109591,2.634620071,2.357994055,2.567986316,2.47399805,2.412109591,2.664063633,2.78262552,2.709678536,2.78262552,2.447040676,1.521824323,2.670369876,2.576162639,2.61553553,0.998168601,1.785996464,2.012637081,2.812718952,2.88782836,2.884112537,2.266961059,2.657789954
1981,8,0.982000557,1.412176502,0.30243716,0.891926538,0.01783197,0.615082682,1.663178255,1.749955198,1.462085436,1.399538634,1.660380466,1.825372257,1.190777799,0.826993934,1.399538634,0.846847963,1.417536341,0.689269686,1.417536341,1.037833834,1.343874751,0.915861088,0.01783197,0.295686085,1.042892835,1.752259789,1.893044611,1.084576582,1.273599713,1.19652277,1.890170253,1.835046232
1981,9,0.187642088,0.438757173,-0.027233243,-0.952180139,-0.818952333,-0.131082903,0.17758079,0.389303626,0.181396075,-0.458642085,-0.123777358,-0.275809312,-0.343622455,-0.241221554,-0.458642085,-0.054892768,0.204430001,0.03028485,0.204430001,0.387294674,-0.5277419,-0.966998786,-0.818952333,-0.054468328,-0.728908102,-0.222861857,-0.741204478,-0.177557216,-0.253855873,0.35007848,0.260464713,0.535481027
1981,10,-0.746573191,-0.609147058,0.033541676,-0.192627324,0.096955044,-0.069216329,-0.488481049,-0.438787486,-0.327468999,-2.515517,-1.209619187,-1.314295707,-1.205707226,-1.213769773,-2.515517,-1.133246905,-1.119638941,-1.137683665,-1.119638941,-0.299662423,-1.295278345,-0.04698553,0.096955044,0.01076768,-2.515517,-2.515517,-1.351828789,-0.108193935,-0.193069834,-1.087550351,-1.324459869,-0.513432657
1981,11,1.249985926,0.572653383,0.12039364,-0.108072211,0.563549974,0.02867782,-1.13945212,-0.3677615,-0.25558995,-0.133348581,-0.144794745,-0.487594522,0.121267336,0.386302272,-0.133348581,0.391245353,0.045391583,0.649310813,0.045391583,-0.215770573,-1.295278345,0.047041929,0.563549974,0.738671967,-0.36543687,-0.659406522,-0.891656217,0.363048995,0.524281136,0.398334662,-1.324459869,-1.127639423
1981,12,-0.746573191,-0.609147058,-0.882009205,-0.952180139,-0.818952333,-0.940371582,-1.13945212,-1.123758315,-1.103836399,-0.77860094,-1.209619187,-0.738464111,-1.205707226,-1.213769773,-0.77860094,-1.133246905,-1.119638941,-1.137683665,-1.119638941,-0.985575526,-0.623566113,-0.966998786,-0.818952333,-0.946693163,-0.831747403,-0.586215351,-0.852114054,-1.034773552,-1.040107773,-1.087550351,-0.529812532,-1.127639423
1982,1,0.923580019,0.691187849,1.13728453,0.764958039,0.727468478,1.44140557,0.379898611,-0.21889424,0.322506681,0.217966091,0.503398662,0.408733456,0.381461099,0.027110988,0.217966091,0.442366317,0.585434159,0.571795708,0.585434159,0.337892617,-0.571495698,0.188525462,0.727468478,0.249957009,-0.44143604,-0.172334373,0.358075251,0.133816037,0.444627204,0.594155981,-0.480476092,0.04770528
1982,2,1.903919708,2.013901551,1.997409411,1.165956234,1.630008886,1.905558259,1.674777397,1.310348254,1.187188132,2.158283908,2.045324293,2.413505693,1.688696754,1.484596698,2.158283908,1.376320862,1.704310168,1.312994462,1.704310168,1.486962687,2.391325057,1.07370116,1.630008886,1.111374676,2.585939084,2.391940065,2.689172806,1.013946988,1.409538352,1.454265041,2.023176581,1.57263184
1982,3,1.578946525,1.640766936,1.882636448,1.905261442,1.743974436,1.879434209,2.274208499,2.04927357,2.089340501,2.117592976,2.209984136,2.139832978,2.019888658,1.97141962,2.117592976,2.083576701,2.094603555,2.05496847,2.094603555,1.991554423,1.632211409,1.887962686,1.743974436,1.743326063,1.201228366,1.499664398,1.913368753,1.913017915,1.978213165,2.148318619,2.003375273,2.024466225
